ORIGIN_AIRPORT,DEST_AIRPORT,Adjusted_Air_Time
ATL,BWI,94
ATL,AUS,71
AUS,ATL,191
ATL,PDX,128
ATL,MKE,41
MKE,ATL,180
DTW,SLC,95
ATL,GRR,132
ATL,LGA,134
MIA,ATL,106
MIA,ATL,107
LAX,SFO,83
ATL,MCO,82
MCO,ATL,101
FLL,LGA,163
MSP,PHX,74
BOS,ATL,183
ATL,DTW,102
LGA,ATL,168
SNA,MSP,332
DTW,BDL,91
ATL,MEM,12
MEM,ATL,134
DTW,SEA,93
SJU,ATL,209
DTW,MCI,58
DTW,RDU,97
SFO,SLC,162
JAX,ATL,64
DEN,LGA,337
CVG,ATL,92
DTW,BOS,117
MSP,TPA,246
TPA,MSP,149
MSP,BOS,254
DCA,DTW,88
ATL,PBI,100
PBI,ATL,110
MIA,ATL,110
MIA,ATL,111
MCI,ATL,189
DTW,CVG,57
ATL,SAN,71
BOS,LGA,73
SLC,LAX,64
DTW,SNA,99
ATL,AVL,80
EWR,ATL,146
LGA,DTW,106
DEN,ATL,296
TPA,ATL,96
BOS,ATL,167
ATL,ORD,45
ORD,ATL,175
DTW,ORD,50
BDL,MSP,95
ATL,IAH,65
IAH,ATL,184
ORD,ATL,173
SLC,RNO,37
IND,LAX,75
BOS,ATL,159
LAS,DTW,411
ATL,JFK,122
SFO,DTW,469
ATL,MYR,70
ATL,DTW,113
MCO,BOS,169
BOS,MSP,126
MCO,BOS,164
ATL,SNA,90
SNA,ATL,436
MSP,GRR,146
ATL,MKE,50
MKE,ATL,186
ATL,MCO,78
LAX,MCO,482
